Frontendservice is down to find the leader node.
socket order service is listening
Connected to : 127.0.0.1 : 52138
Connected to : 127.0.0.1 : 52148
Connected to : 127.0.0.1 : 52160
Connected to : 127.0.0.1 : 52176
Connected to : 127.0.0.1 : 52180
Connected to : 127.0.0.1 : 52200
Connected to : 127.0.0.1 : 52204
Connected to : 127.0.0.1 : 52226
Connected to : 127.0.0.1 : 52230
Connected to : 127.0.0.1 : 52244
Connected to : 127.0.0.1 : 52258
Connected to : 127.0.0.1 : 52270
Connected to : 127.0.0.1 : 52282
Connected to : 127.0.0.1 : 52294
Connected to : 127.0.0.1 : 52304
Connected to : 127.0.0.1 : 52314
Connected to : 127.0.0.1 : 52328
Connected to : 127.0.0.1 : 52346
Connected to : 127.0.0.1 : 52350
Connected to : 127.0.0.1 : 52364
Connected to : 127.0.0.1 : 52378
Connected to : 127.0.0.1 : 52388
Connected to : 127.0.0.1 : 52402
Connected to : 127.0.0.1 : 52412
Connected to : 127.0.0.1 : 52430
Connected to : 127.0.0.1 : 52434
Connected to : 127.0.0.1 : 52446
Connected to : 127.0.0.1 : 52462
Connected to : 127.0.0.1 : 52466
Connected to : 127.0.0.1 : 52480
Connected to : 127.0.0.1 : 52492
Connected to : 127.0.0.1 : 52504
Connected to : 127.0.0.1 : 52524
Connected to : 127.0.0.1 : 52528
Connected to : 127.0.0.1 : 52542
Connected to : 127.0.0.1 : 52556
Connected to : 127.0.0.1 : 52562
Connected to : 127.0.0.1 : 52574
Connected to : 127.0.0.1 : 52584
Connected to : 127.0.0.1 : 52606
Connected to : 127.0.0.1 : 52610
Connected to : 127.0.0.1 : 52628
Connected to : 127.0.0.1 : 52632
Connected to : 127.0.0.1 : 52646
Connected to : 127.0.0.1 : 52656
Connected to : 127.0.0.1 : 52668
Connected to : 127.0.0.1 : 52676
Connected to : 127.0.0.1 : 52702
Connected to : 127.0.0.1 : 52714
Connected to : 127.0.0.1 : 52728
Connected to : 127.0.0.1 : 52732
Connected to : 127.0.0.1 : 52752
Connected to : 127.0.0.1 : 52756
Connected to : 127.0.0.1 : 52768
Connected to : 127.0.0.1 : 52782
Connected to : 127.0.0.1 : 52796
Connected to : 127.0.0.1 : 52810
Connected to : 127.0.0.1 : 52820
Connected to : 127.0.0.1 : 52832
Connected to : 127.0.0.1 : 52844
Connected to : 127.0.0.1 : 52856
Connected to : 127.0.0.1 : 52868
Connected to : 127.0.0.1 : 52882
Connected to : 127.0.0.1 : 52890
Connected to : 127.0.0.1 : 52894
Connected to : 127.0.0.1 : 52910
Connected to : 127.0.0.1 : 52922
Connected to : 127.0.0.1 : 52932
Connected to : 127.0.0.1 : 52942
Connected to : 127.0.0.1 : 52968
Connected to : 127.0.0.1 : 52980
Connected to : 127.0.0.1 : 52996
Connected to : 127.0.0.1 : 53008
Connected to : 127.0.0.1 : 53028
Connected to : 127.0.0.1 : 53032
Connected to : 127.0.0.1 : 53036
Connected to : 127.0.0.1 : 53058
Connected to : 127.0.0.1 : 53068
Connected to : 127.0.0.1 : 53076
Connected to : 127.0.0.1 : 53088
Connected to : 127.0.0.1 : 53100
Connected to : 127.0.0.1 : 53112
Connected to : 127.0.0.1 : 53126
Connected to : 127.0.0.1 : 53142
Connected to : 127.0.0.1 : 53146
Connected to : 127.0.0.1 : 53168
Connected to : 127.0.0.1 : 53178
Connected to : 127.0.0.1 : 53192
Connected to : 127.0.0.1 : 53200
Connected to : 127.0.0.1 : 53216
Connected to : 127.0.0.1 : 53220
Connected to : 127.0.0.1 : 53238
Connected to : 127.0.0.1 : 53242
Connected to : 127.0.0.1 : 53262
Connected to : 127.0.0.1 : 53274
Connected to : 127.0.0.1 : 53286
Connected to : 127.0.0.1 : 53296
Connected to : 127.0.0.1 : 53308
Connected to : 127.0.0.1 : 53320
Connected to : 127.0.0.1 : 53330
Connected to : 127.0.0.1 : 53342
Connected to : 127.0.0.1 : 53350
Connected to : 127.0.0.1 : 53360
Connected to : 127.0.0.1 : 53382
Connected to : 127.0.0.1 : 53396
Connected to : 127.0.0.1 : 53400
Connected to : 127.0.0.1 : 53412
Connected to : 127.0.0.1 : 53422
Connected to : 127.0.0.1 : 53440
Connected to : 127.0.0.1 : 53446
Connected to : 127.0.0.1 : 53464
Connected to : 127.0.0.1 : 53474
Connected to : 127.0.0.1 : 53490
Connected to : 127.0.0.1 : 53494
Connected to : 127.0.0.1 : 53506
Connected to : 127.0.0.1 : 53520
Connected to : 127.0.0.1 : 53530
Connected to : 127.0.0.1 : 53546
Connected to : 127.0.0.1 : 53550
Connected to : 127.0.0.1 : 53564
Connected to : 127.0.0.1 : 53578
