/Users/mkonidala/Downloads/DOS/lab3-spring22-susmitha-muni/venv/bin/python /Users/mkonidala/Downloads/DOS/lab3-spring22-susmitha-muni/src/orderservice_9002/orders2.py
Leader Node Port:  9000
socket order service is listening
Connected to : 127.0.0.1 : 63183
Connected to : 127.0.0.1 : 63185
Connected to : 127.0.0.1 : 63188
Connected to : 127.0.0.1 : 63191
Connected to : 127.0.0.1 : 63194
Connected to : 127.0.0.1 : 63206
Connected to : 127.0.0.1 : 63210
Connected to : 127.0.0.1 : 63217
Connected to : 127.0.0.1 : 63222
Connected to : 127.0.0.1 : 63228
Connected to : 127.0.0.1 : 63232
Connected to : 127.0.0.1 : 63241
Connected to : 127.0.0.1 : 63252
Connected to : 127.0.0.1 : 63260
Connected to : 127.0.0.1 : 63263
Connected to : 127.0.0.1 : 63267
Connected to : 127.0.0.1 : 63271
Connected to : 127.0.0.1 : 63275
Connected to : 127.0.0.1 : 63282
Connected to : 127.0.0.1 : 63292
Connected to : 127.0.0.1 : 63306
Connected to : 127.0.0.1 : 63308
Connected to : 127.0.0.1 : 63311
Connected to : 127.0.0.1 : 63314
Connected to : 127.0.0.1 : 63317
Connected to : 127.0.0.1 : 63330
Connected to : 127.0.0.1 : 63335
Connected to : 127.0.0.1 : 63346
Connected to : 127.0.0.1 : 63348
Connected to : 127.0.0.1 : 63355
Connected to : 127.0.0.1 : 63361
Connected to : 127.0.0.1 : 63369
Connected to : 127.0.0.1 : 63371
Connected to : 127.0.0.1 : 63379
Connected to : 127.0.0.1 : 63387
Connected to : 127.0.0.1 : 63392
Connected to : 127.0.0.1 : 63397
Connected to : 127.0.0.1 : 63400
Connected to : 127.0.0.1 : 63404
Connected to : 127.0.0.1 : 63415
Connected to : 127.0.0.1 : 63418
Connected to : 127.0.0.1 : 63426
Connected to : 127.0.0.1 : 63433
Connected to : 127.0.0.1 : 63436
Connected to : 127.0.0.1 : 63448
Connected to : 127.0.0.1 : 63451
Connected to : 127.0.0.1 : 63455
Connected to : 127.0.0.1 : 63459
Connected to : 127.0.0.1 : 63467
Connected to : 127.0.0.1 : 63470
Connected to : 127.0.0.1 : 63476
Connected to : 127.0.0.1 : 63486
Connected to : 127.0.0.1 : 63489
Connected to : 127.0.0.1 : 63496
Connected to : 127.0.0.1 : 63501
Connected to : 127.0.0.1 : 63508
Connected to : 127.0.0.1 : 63531
Connected to : 127.0.0.1 : 63536
Connected to : 127.0.0.1 : 63539
Connected to : 127.0.0.1 : 63542
Connected to : 127.0.0.1 : 63545
Connected to : 127.0.0.1 : 63563
Connected to : 127.0.0.1 : 63566
Connected to : 127.0.0.1 : 63569
Connected to : 127.0.0.1 : 63572
Connected to : 127.0.0.1 : 63575
Connected to : 127.0.0.1 : 63587
Connected to : 127.0.0.1 : 63592
Connected to : 127.0.0.1 : 63595
Connected to : 127.0.0.1 : 63598
Connected to : 127.0.0.1 : 63601
Connected to : 127.0.0.1 : 63622
Connected to : 127.0.0.1 : 63624
Connected to : 127.0.0.1 : 63627
Connected to : 127.0.0.1 : 63630
Connected to : 127.0.0.1 : 63633
Connected to : 127.0.0.1 : 63650
Connected to : 127.0.0.1 : 63652
Connected to : 127.0.0.1 : 63655
Connected to : 127.0.0.1 : 63658
Connected to : 127.0.0.1 : 63661
Connected to : 127.0.0.1 : 63679
Connected to : 127.0.0.1 : 63684
Connected to : 127.0.0.1 : 63687
Connected to : 127.0.0.1 : 63690
Connected to : 127.0.0.1 : 63693
Connected to : 127.0.0.1 : 63706
Connected to : 127.0.0.1 : 63710
Connected to : 127.0.0.1 : 63720
Connected to : 127.0.0.1 : 63724
Connected to : 127.0.0.1 : 63728
Connected to : 127.0.0.1 : 63732
Connected to : 127.0.0.1 : 63736
Connected to : 127.0.0.1 : 63753
Connected to : 127.0.0.1 : 63758
Connected to : 127.0.0.1 : 63763
Connected to : 127.0.0.1 : 63765
Connected to : 127.0.0.1 : 63770
Connected to : 127.0.0.1 : 63782
Connected to : 127.0.0.1 : 63787
Connected to : 127.0.0.1 : 63790
Connected to : 127.0.0.1 : 63792
Connected to : 127.0.0.1 : 63795
Connected to : 127.0.0.1 : 63811
Connected to : 127.0.0.1 : 63815
Connected to : 127.0.0.1 : 63819
Connected to : 127.0.0.1 : 63821
Connected to : 127.0.0.1 : 63826
Connected to : 127.0.0.1 : 63833
Connected to : 127.0.0.1 : 63845
Connected to : 127.0.0.1 : 63851
Connected to : 127.0.0.1 : 63853
Connected to : 127.0.0.1 : 63856
Connected to : 127.0.0.1 : 63859
Connected to : 127.0.0.1 : 63872
Connected to : 127.0.0.1 : 63878
Connected to : 127.0.0.1 : 63886
Connected to : 127.0.0.1 : 63890
Connected to : 127.0.0.1 : 63896
Connected to : 127.0.0.1 : 63903
Connected to : 127.0.0.1 : 63908
Connected to : 127.0.0.1 : 63917
Connected to : 127.0.0.1 : 63923
Connected to : 127.0.0.1 : 63926
Connected to : 127.0.0.1 : 63930
Connected to : 127.0.0.1 : 63938
Connected to : 127.0.0.1 : 63949
Connected to : 127.0.0.1 : 63953
Connected to : 127.0.0.1 : 63958
Connected to : 127.0.0.1 : 63960
Connected to : 127.0.0.1 : 63965
Connected to : 127.0.0.1 : 63973
Connected to : 127.0.0.1 : 63978
Connected to : 127.0.0.1 : 63985
Connected to : 127.0.0.1 : 63990
Connected to : 127.0.0.1 : 63994
Connected to : 127.0.0.1 : 64000
Connected to : 127.0.0.1 : 64009
Connected to : 127.0.0.1 : 64014
Connected to : 127.0.0.1 : 64021
Connected to : 127.0.0.1 : 64025
Connected to : 127.0.0.1 : 64030
Connected to : 127.0.0.1 : 64036
Connected to : 127.0.0.1 : 64042
Connected to : 127.0.0.1 : 64047
Connected to : 127.0.0.1 : 64054
Connected to : 127.0.0.1 : 64060
Connected to : 127.0.0.1 : 64063
Connected to : 127.0.0.1 : 64067
Connected to : 127.0.0.1 : 64072
Connected to : 127.0.0.1 : 64082
Connected to : 127.0.0.1 : 64093
Connected to : 127.0.0.1 : 64098
Connected to : 127.0.0.1 : 64102
Connected to : 127.0.0.1 : 64105
Connected to : 127.0.0.1 : 64109
Connected to : 127.0.0.1 : 64123
Connected to : 127.0.0.1 : 64131
Connected to : 127.0.0.1 : 64134
Connected to : 127.0.0.1 : 64138
Connected to : 127.0.0.1 : 64143
Connected to : 127.0.0.1 : 64148
Connected to : 127.0.0.1 : 64159
Connected to : 127.0.0.1 : 64165
Connected to : 127.0.0.1 : 64171
Connected to : 127.0.0.1 : 64175
Connected to : 127.0.0.1 : 64179
Connected to : 127.0.0.1 : 64184
Connected to : 127.0.0.1 : 64197
Connected to : 127.0.0.1 : 64204
Connected to : 127.0.0.1 : 64206
Connected to : 127.0.0.1 : 64210
Connected to : 127.0.0.1 : 64214
Connected to : 127.0.0.1 : 64223
Connected to : 127.0.0.1 : 64232
Connected to : 127.0.0.1 : 64238
Connected to : 127.0.0.1 : 64243
Connected to : 127.0.0.1 : 64245
Connected to : 127.0.0.1 : 64250
Connected to : 127.0.0.1 : 64262
Connected to : 127.0.0.1 : 64270
Connected to : 127.0.0.1 : 64273
Connected to : 127.0.0.1 : 64276
Connected to : 127.0.0.1 : 64280
Connected to : 127.0.0.1 : 64293
Connected to : 127.0.0.1 : 64300
Connected to : 127.0.0.1 : 64302
Connected to : 127.0.0.1 : 64306
Connected to : 127.0.0.1 : 64309
Connected to : 127.0.0.1 : 64317
Connected to : 127.0.0.1 : 64329
Connected to : 127.0.0.1 : 64331
Connected to : 127.0.0.1 : 64339
Connected to : 127.0.0.1 : 64342
Connected to : 127.0.0.1 : 64347
Connected to : 127.0.0.1 : 64352
Connected to : 127.0.0.1 : 64360
Connected to : 127.0.0.1 : 64365
Connected to : 127.0.0.1 : 64372
Connected to : 127.0.0.1 : 64379
Connected to : 127.0.0.1 : 64384
Connected to : 127.0.0.1 : 64394
Connected to : 127.0.0.1 : 64400
Connected to : 127.0.0.1 : 64404
Connected to : 127.0.0.1 : 64410
Connected to : 127.0.0.1 : 64415
Connected to : 127.0.0.1 : 64422
Connected to : 127.0.0.1 : 64426
Connected to : 127.0.0.1 : 64431
Connected to : 127.0.0.1 : 64436
Connected to : 127.0.0.1 : 64449
Connected to : 127.0.0.1 : 64451
Connected to : 127.0.0.1 : 64456
Connected to : 127.0.0.1 : 64459
Connected to : 127.0.0.1 : 64462
Connected to : 127.0.0.1 : 64471
Connected to : 127.0.0.1 : 64478
Connected to : 127.0.0.1 : 64487
Connected to : 127.0.0.1 : 64490
Connected to : 127.0.0.1 : 64498
Connected to : 127.0.0.1 : 64503
Connected to : 127.0.0.1 : 64511
Connected to : 127.0.0.1 : 64516
Connected to : 127.0.0.1 : 64523
Connected to : 127.0.0.1 : 64527
Connected to : 127.0.0.1 : 64533
Connected to : 127.0.0.1 : 64537
Connected to : 127.0.0.1 : 64542
Connected to : 127.0.0.1 : 64549
Connected to : 127.0.0.1 : 64560
Connected to : 127.0.0.1 : 64564
Connected to : 127.0.0.1 : 64569
Connected to : 127.0.0.1 : 64572
Connected to : 127.0.0.1 : 64575
Connected to : 127.0.0.1 : 64591
Connected to : 127.0.0.1 : 64596
Connected to : 127.0.0.1 : 64599
Connected to : 127.0.0.1 : 64602
Connected to : 127.0.0.1 : 64608
Connected to : 127.0.0.1 : 64615
Connected to : 127.0.0.1 : 64619
Connected to : 127.0.0.1 : 64624
Connected to : 127.0.0.1 : 64629
Connected to : 127.0.0.1 : 64637
Connected to : 127.0.0.1 : 64643
Connected to : 127.0.0.1 : 64649
Connected to : 127.0.0.1 : 64655
Connected to : 127.0.0.1 : 64661
Connected to : 127.0.0.1 : 64666
Connected to : 127.0.0.1 : 64671
Connected to : 127.0.0.1 : 64676
Connected to : 127.0.0.1 : 64681
Connected to : 127.0.0.1 : 64687
Connected to : 127.0.0.1 : 64693
Connected to : 127.0.0.1 : 64698
Connected to : 127.0.0.1 : 64704
Connected to : 127.0.0.1 : 64709
Connected to : 127.0.0.1 : 64716
Connected to : 127.0.0.1 : 64722
Connected to : 127.0.0.1 : 64744
Connected to : 127.0.0.1 : 64750
Connected to : 127.0.0.1 : 64753
Connected to : 127.0.0.1 : 64756
Connected to : 127.0.0.1 : 64759
Connected to : 127.0.0.1 : 64775
Connected to : 127.0.0.1 : 64779
Connected to : 127.0.0.1 : 64782
Connected to : 127.0.0.1 : 64785
Connected to : 127.0.0.1 : 64788
Connected to : 127.0.0.1 : 64803
Connected to : 127.0.0.1 : 64806
Connected to : 127.0.0.1 : 64809
Connected to : 127.0.0.1 : 64812
Connected to : 127.0.0.1 : 64815
Connected to : 127.0.0.1 : 64833
Connected to : 127.0.0.1 : 64836
Connected to : 127.0.0.1 : 64840
Connected to : 127.0.0.1 : 64843
Connected to : 127.0.0.1 : 64847
Connected to : 127.0.0.1 : 64864
Connected to : 127.0.0.1 : 64869
Connected to : 127.0.0.1 : 64871
Connected to : 127.0.0.1 : 64874
Connected to : 127.0.0.1 : 64877
Connected to : 127.0.0.1 : 64895
Connected to : 127.0.0.1 : 64898
Connected to : 127.0.0.1 : 64901
Connected to : 127.0.0.1 : 64904
Connected to : 127.0.0.1 : 64907
Connected to : 127.0.0.1 : 64925
Connected to : 127.0.0.1 : 64927
Connected to : 127.0.0.1 : 64931
Connected to : 127.0.0.1 : 64934
Connected to : 127.0.0.1 : 64937
Connected to : 127.0.0.1 : 64948
Connected to : 127.0.0.1 : 64956
Connected to : 127.0.0.1 : 64959
Connected to : 127.0.0.1 : 64962
Connected to : 127.0.0.1 : 64965
Connected to : 127.0.0.1 : 64980
Connected to : 127.0.0.1 : 64986
Connected to : 127.0.0.1 : 64992
Connected to : 127.0.0.1 : 64996
Connected to : 127.0.0.1 : 64999
Connected to : 127.0.0.1 : 65004
Connected to : 127.0.0.1 : 65011
Connected to : 127.0.0.1 : 65021
Connected to : 127.0.0.1 : 65030
Connected to : 127.0.0.1 : 65036
Connected to : 127.0.0.1 : 65041
Connected to : 127.0.0.1 : 65043
Connected to : 127.0.0.1 : 65048
Connected to : 127.0.0.1 : 65054
Connected to : 127.0.0.1 : 65064
Connected to : 127.0.0.1 : 65068
Connected to : 127.0.0.1 : 65074
Connected to : 127.0.0.1 : 65081
Connected to : 127.0.0.1 : 65089
Connected to : 127.0.0.1 : 65094
Connected to : 127.0.0.1 : 65099
Connected to : 127.0.0.1 : 65111
Connected to : 127.0.0.1 : 65118
Connected to : 127.0.0.1 : 65121
Connected to : 127.0.0.1 : 65125
Connected to : 127.0.0.1 : 65130
Connected to : 127.0.0.1 : 65134
Connected to : 127.0.0.1 : 65144
Connected to : 127.0.0.1 : 65149
Connected to : 127.0.0.1 : 65153
Connected to : 127.0.0.1 : 65158
Connected to : 127.0.0.1 : 65164
Connected to : 127.0.0.1 : 65174
Connected to : 127.0.0.1 : 65182
Connected to : 127.0.0.1 : 65186
Connected to : 127.0.0.1 : 65191
Connected to : 127.0.0.1 : 65196
Connected to : 127.0.0.1 : 65211
Connected to : 127.0.0.1 : 65214
Connected to : 127.0.0.1 : 65218
Connected to : 127.0.0.1 : 65221
Connected to : 127.0.0.1 : 65226
Connected to : 127.0.0.1 : 65239
Connected to : 127.0.0.1 : 65243
Connected to : 127.0.0.1 : 65246
Connected to : 127.0.0.1 : 65249
Connected to : 127.0.0.1 : 65252
Connected to : 127.0.0.1 : 65263
Connected to : 127.0.0.1 : 65267
Connected to : 127.0.0.1 : 65277
Connected to : 127.0.0.1 : 65280
Connected to : 127.0.0.1 : 65285
Connected to : 127.0.0.1 : 65290
Connected to : 127.0.0.1 : 65293
Connected to : 127.0.0.1 : 65305
Connected to : 127.0.0.1 : 65311
Connected to : 127.0.0.1 : 65320
Connected to : 127.0.0.1 : 65322
Connected to : 127.0.0.1 : 65329
Connected to : 127.0.0.1 : 65333
Connected to : 127.0.0.1 : 65348
Connected to : 127.0.0.1 : 65355
Connected to : 127.0.0.1 : 65362
Connected to : 127.0.0.1 : 65366
Connected to : 127.0.0.1 : 65371
Connected to : 127.0.0.1 : 65377
Connected to : 127.0.0.1 : 65385
Connected to : 127.0.0.1 : 65388
Connected to : 127.0.0.1 : 65394
Connected to : 127.0.0.1 : 65399
Connected to : 127.0.0.1 : 65405
Connected to : 127.0.0.1 : 65411
Connected to : 127.0.0.1 : 65416
Connected to : 127.0.0.1 : 65422
Connected to : 127.0.0.1 : 65431
Connected to : 127.0.0.1 : 65441
Connected to : 127.0.0.1 : 65449
Connected to : 127.0.0.1 : 65454
