/Users/mkonidala/Downloads/DOS/lab3-spring22-susmitha-muni/venv/bin/python /Users/mkonidala/Downloads/DOS/lab3-spring22-susmitha-muni/src/orderservice_9002/orders2.py
Frontendservice is down to find the leader node.
socket order service is listening
Connected to : 127.0.0.1 : 51619
Connected to : 127.0.0.1 : 51625
Connected to : 127.0.0.1 : 51631
Connected to : 127.0.0.1 : 51636
Connected to : 127.0.0.1 : 51642
Connected to : 127.0.0.1 : 51664
Connected to : 127.0.0.1 : 51669
Connected to : 127.0.0.1 : 51675
Connected to : 127.0.0.1 : 51679
Connected to : 127.0.0.1 : 51688
Connected to : 127.0.0.1 : 51698
Connected to : 127.0.0.1 : 51705
Connected to : 127.0.0.1 : 51727
Connected to : 127.0.0.1 : 51735
Connected to : 127.0.0.1 : 51755
Connected to : 127.0.0.1 : 51763
Connected to : 127.0.0.1 : 51772
Connected to : 127.0.0.1 : 51779
Connected to : 127.0.0.1 : 51785
Connected to : 127.0.0.1 : 51802
Connected to : 127.0.0.1 : 51810
Connected to : 127.0.0.1 : 51820
Connected to : 127.0.0.1 : 51839
Connected to : 127.0.0.1 : 51850
Connected to : 127.0.0.1 : 51872
Connected to : 127.0.0.1 : 51879
Connected to : 127.0.0.1 : 51884
Connected to : 127.0.0.1 : 51894
Connected to : 127.0.0.1 : 51901
Connected to : 127.0.0.1 : 51909
Connected to : 127.0.0.1 : 51931
Connected to : 127.0.0.1 : 51940
Connected to : 127.0.0.1 : 51947
Connected to : 127.0.0.1 : 51953
Connected to : 127.0.0.1 : 51975
Connected to : 127.0.0.1 : 51982
Connected to : 127.0.0.1 : 51995
Connected to : 127.0.0.1 : 52013
Connected to : 127.0.0.1 : 52016
Connected to : 127.0.0.1 : 52019
Connected to : 127.0.0.1 : 52022
Connected to : 127.0.0.1 : 52025
Connected to : 127.0.0.1 : 52054
Connected to : 127.0.0.1 : 52067
Connected to : 127.0.0.1 : 52073
Connected to : 127.0.0.1 : 52079
Connected to : 127.0.0.1 : 52082
Connected to : 127.0.0.1 : 52087
Connected to : 127.0.0.1 : 52108
Connected to : 127.0.0.1 : 52120
Connected to : 127.0.0.1 : 52126
Connected to : 127.0.0.1 : 52132
Connected to : 127.0.0.1 : 52146
Connected to : 127.0.0.1 : 52152
Connected to : 127.0.0.1 : 52172
Connected to : 127.0.0.1 : 52178
Connected to : 127.0.0.1 : 52202
Connected to : 127.0.0.1 : 52214
Connected to : 127.0.0.1 : 52220
Connected to : 127.0.0.1 : 52226
Connected to : 127.0.0.1 : 52246
Connected to : 127.0.0.1 : 52253
Connected to : 127.0.0.1 : 52260
Connected to : 127.0.0.1 : 52269
Connected to : 127.0.0.1 : 52278
Connected to : 127.0.0.1 : 52287
Connected to : 127.0.0.1 : 52297
Connected to : 127.0.0.1 : 52303
Connected to : 127.0.0.1 : 52314
Connected to : 127.0.0.1 : 52333
Connected to : 127.0.0.1 : 52341
Connected to : 127.0.0.1 : 52349
Connected to : 127.0.0.1 : 52355
Connected to : 127.0.0.1 : 52362
Connected to : 127.0.0.1 : 52371
Connected to : 127.0.0.1 : 52386
Connected to : 127.0.0.1 : 52391
Connected to : 127.0.0.1 : 52403
Connected to : 127.0.0.1 : 52417
Connected to : 127.0.0.1 : 52433
Connected to : 127.0.0.1 : 52439
Connected to : 127.0.0.1 : 52442
Connected to : 127.0.0.1 : 52447
Connected to : 127.0.0.1 : 52461
Connected to : 127.0.0.1 : 52471
Connected to : 127.0.0.1 : 52476
Connected to : 127.0.0.1 : 52482
Connected to : 127.0.0.1 : 52489
Connected to : 127.0.0.1 : 52516
Connected to : 127.0.0.1 : 52521
Connected to : 127.0.0.1 : 52526
Connected to : 127.0.0.1 : 52536
Connected to : 127.0.0.1 : 52553
Connected to : 127.0.0.1 : 52561
Connected to : 127.0.0.1 : 52591
Connected to : 127.0.0.1 : 52598
Connected to : 127.0.0.1 : 52601
Connected to : 127.0.0.1 : 52604
Connected to : 127.0.0.1 : 52608
Connected to : 127.0.0.1 : 52627
Connected to : 127.0.0.1 : 52630
Connected to : 127.0.0.1 : 52637
Connected to : 127.0.0.1 : 52643
Connected to : 127.0.0.1 : 52652
Connected to : 127.0.0.1 : 52657
Connected to : 127.0.0.1 : 52664
Connected to : 127.0.0.1 : 52674
Connected to : 127.0.0.1 : 52685
Connected to : 127.0.0.1 : 52692
Connected to : 127.0.0.1 : 52701
Connected to : 127.0.0.1 : 52712
Connected to : 127.0.0.1 : 52716
Connected to : 127.0.0.1 : 52721
Connected to : 127.0.0.1 : 52726
Connected to : 127.0.0.1 : 52750
Connected to : 127.0.0.1 : 52753
Connected to : 127.0.0.1 : 52756
Connected to : 127.0.0.1 : 52759
Connected to : 127.0.0.1 : 52762
Connected to : 127.0.0.1 : 52779
Connected to : 127.0.0.1 : 52783
Connected to : 127.0.0.1 : 52791
Connected to : 127.0.0.1 : 52797
Connected to : 127.0.0.1 : 52803
Connected to : 127.0.0.1 : 52807
Connected to : 127.0.0.1 : 52814
Connected to : 127.0.0.1 : 52822
Connected to : 127.0.0.1 : 52836
Connected to : 127.0.0.1 : 52845
Connected to : 127.0.0.1 : 52849
Connected to : 127.0.0.1 : 52866
Connected to : 127.0.0.1 : 52870
Connected to : 127.0.0.1 : 52878
