order_no,Product,Quantity
1,Clue,3
2,Elephant,2
3,Jenga,2
4,Whale,5
5,Elephant,2
6,Hippo,2
7,Tux,4
8,Uno,5
9,Lego,5
10,Twister,4
11,Uno,3
12,Twister,4
13,Lego,4
14,Lego,3
15,Twister,2
16,Twister,2
17,Jenga,3
18,Lego,3
19,Whale,3
20,Hippo,4
21,Twister,1
22,Twister,1
23,Jenga,1
24,Uno,4
25,Bird,1
26,Uno,1
27,Twister,2
28,Elephant,4
29,Jenga,5
30,Lego,1
31,Uno,2
32,Twister,4
33,Uno,1
34,Hippo,3
35,Uno,2
36,Whale,5
37,Whale,2
38,Hippo,2
39,Lego,1
40,Lego,3
41,Elephant,1
42,Jenga,5
43,Tux,4
44,Hippo,4
45,Whale,2
46,Lego,1
47,Twister,2
48,Uno,2
49,Tux,1
50,Clue,4
51,Bird,1
52,Whale,4
53,Clue,1
54,Uno,3
55,Uno,3
56,Hippo,4
57,Elephant,4
58,Hippo,1
59,Elephant,4
60,Hippo,5
61,Lego,2
62,Hippo,1
63,Lego,3
64,Bird,1
65,Twister,5
66,Uno,3
67,Lego,1
68,Lego,4
69,Bird,1
70,Clue,3
71,Hippo,1
72,Hippo,4
73,Clue,2
74,Bird,1
75,Whale,5
76,Tux,4
77,Tux,1
78,Lego,1
79,Uno,5
80,Elephant,4
81,Hippo,4
82,Twister,5
83,Uno,5
84,Bird,1
85,Twister,5
86,Hippo,1
87,Hippo,5
88,Jenga,2
89,Clue,5
90,Hippo,5
91,Clue,4
92,Elephant,2
93,Hippo,4
94,Twister,5
95,Elephant,3
96,Hippo,5
97,Elephant,2
98,Jenga,3
99,Uno,5
100,Jenga,1
101,Hippo,5
102,Bird,4
103,Twister,5
104,Uno,1
105,Hippo,2
106,Tux,4
107,Bird,3
108,Tux,5
109,Jenga,4
110,Whale,2
111,Bird,5
112,Uno,3
113,Whale,2
114,Jenga,2
115,Uno,4
116,Jenga,3
117,Bird,2
118,Uno,4
119,Tux,1
120,Elephant,1
121,Twister,3
122,Elephant,2
123,Lego,5
124,Elephant,5
125,Uno,1
126,Whale,5
127,Lego,5
128,Tux,1
129,Lego,2
130,Lego,1
131,Clue,1
132,Tux,3
133,Jenga,2
134,Elephant,5
135,Clue,1
136,Bird,1
137,Uno,5
138,Elephant,3
139,Clue,2
140,Jenga,2
141,Bird,5
142,Twister,1
143,Clue,2
144,Clue,5
145,Elephant,4
146,Lego,3
147,Lego,5
148,Elephant,4
149,Bird,4
150,Tux,5
151,Twister,5
152,Tux,2
153,Elephant,2
154,Uno,1
155,Twister,4
156,Lego,1
157,Twister,2
158,Clue,3
159,Whale,4
160,Lego,3
161,Whale,3
162,Whale,3
163,Elephant,5
164,Elephant,5
165,Tux,5
166,Clue,1
167,Uno,3
168,Lego,3
169,Lego,4
170,Lego,1
171,Lego,3
172,Elephant,2
173,Hippo,1
174,Clue,3
175,Uno,5
176,Tux,5
177,Lego,2
178,Clue,3
179,Clue,3
180,Uno,4
181,Tux,3
182,Jenga,4
183,Twister,2
184,Bird,3
185,Uno,1
186,Clue,2
187,Jenga,3
188,Lego,4
189,Whale,5
190,Whale,3
191,Elephant,2
192,Clue,3
193,Jenga,2
194,Uno,2
195,Tux,2
196,Hippo,2
197,Tux,3
198,Lego,1
199,Tux,5
200,Bird,3
201,Elephant,3
202,Whale,1
203,Lego,1
204,Hippo,4
205,Lego,3
206,Elephant,3
207,Uno,5
208,Clue,4
209,Hippo,2
210,Clue,3
211,Hippo,3
212,Tux,3
213,Clue,1
214,Twister,4
215,Uno,1
216,Whale,1
217,Elephant,4
218,Hippo,4
219,Whale,1
220,Clue,5
221,Lego,5
222,Jenga,5
223,Whale,2
224,Elephant,3
225,Twister,3
226,Bird,2
227,Hippo,4
228,Jenga,5
229,Uno,3
230,Lego,2
231,Clue,2
232,Whale,5
233,Bird,5
234,Clue,4
235,Jenga,4
236,Lego,5
237,Clue,3
238,Bird,1
239,Clue,1
240,Lego,3
241,Jenga,5
242,Twister,3
243,Jenga,3
244,Jenga,2
245,Twister,2
246,Jenga,1
247,Whale,4
248,Elephant,4
249,Elephant,5
250,Bird,1
251,Hippo,5
252,Whale,3
253,Elephant,4
254,Lego,4
255,Uno,5
256,Twister,2
257,Twister,2
258,Uno,1
259,Clue,4
260,Whale,5
261,Elephant,5
262,Jenga,3
263,Jenga,1
264,Hippo,1
265,Hippo,4
266,Clue,3
267,Lego,2
268,Whale,3
269,Tux,4
270,Bird,5
271,Tux,1
272,Twister,4
273,Twister,5
274,Tux,4
275,Clue,5
276,Twister,5
277,Hippo,1
278,Hippo,2
279,Elephant,1
280,Jenga,4
281,Clue,4
282,Whale,4
283,Bird,3
284,Jenga,4
285,Whale,1
286,Whale,3
287,Clue,1
288,Whale,4
289,Jenga,5
290,Clue,1
291,Twister,4
292,Jenga,1
293,Clue,2
294,Elephant,3
295,Clue,1
296,Whale,4
297,Bird,4
298,Clue,4
299,Whale,2
300,Elephant,1
301,Bird,2
302,Jenga,4
303,Lego,2
304,Whale,1
305,Jenga,1
306,Uno,1
307,Lego,2
308,Hippo,5
309,Clue,1
310,Lego,3
311,Twister,2
312,Tux,2
313,Whale,3
314,Bird,1
315,Tux,2
316,Uno,3
317,Tux,4
318,Tux,3
319,Tux,3
320,Bird,1
321,Bird,2
322,Lego,4
323,Lego,5
324,Tux,5
325,Tux,5
326,Lego,3
327,Jenga,4
328,Tux,2
329,Bird,4
330,Tux,4
331,Uno,1
332,Lego,2
333,Jenga,1
334,Bird,5
335,Lego,2
336,Lego,4
337,Lego,5
338,Jenga,2
339,Elephant,4
340,Elephant,2
341,Bird,2
342,Lego,2
343,Bird,2
344,Jenga,1
345,Bird,1
346,Bird,2
347,Uno,2
348,Lego,2
349,Bird,3
350,Bird,4
351,Bird,2
352,Bird,3
353,Bird,5
354,Bird,1
355,Bird,2
356,Elephant,4
357,Bird,5
358,Bird,1
359,Lego,4
360,Bird,1
361,Lego,3
362,Lego,2
363,Lego,2
364,Lego,4
365,Elephant,4
366,Lego,4
367,Elephant,2
368,Elephant,3
369,Lego,4
370,Lego,2
371,Elephant,5
372,Lego,4
373,Lego,4
374,Lego,2
375,Elephant,1
376,Lego,2
377,Lego,1
378,Lego,4
379,Lego,2
380,Elephant,5
381,Elephant,2
382,Lego,1
383,Elephant,1
384,Elephant,1
385,Elephant,2
386,Elephant,5
387,Lego,3
388,Elephant,3
389,Elephant,3
390,Tux,1
391,Elephant,2
392,Tux,1
393,Jenga,3
394,Hippo,1
395,Hippo,2
396,Twister,3
397,Whale,3
398,Hippo,1
399,Twister,3
400,Tux,2
401,Elephant,2
402,Whale,4
403,Jenga,3
404,Jenga,5
405,Uno,3
406,Jenga,5
407,Bird,3
408,Twister,1
409,Clue,1
410,Clue,3
411,Tux,3
412,Hippo,5
413,Whale,4
414,Uno,1
415,Twister,4
416,Twister,4
417,Clue,1
418,Clue,3
419,Bird,2
420,Clue,3
421,Clue,3
422,Whale,5
423,Jenga,5
424,Twister,4
425,Jenga,1
426,Hippo,5
427,Bird,3
428,Elephant,5
429,Whale,2
430,Bird,2
431,Twister,3
432,Bird,3
433,Tux,2
434,Twister,2
435,Uno,2
436,Twister,5
437,Twister,5
438,Hippo,2
439,Tux,5
440,Hippo,2
441,Tux,3
442,Elephant,4
443,Elephant,5
444,Uno,5
445,Uno,4
446,Twister,5
447,Whale,4
448,Lego,3
449,Tux,1
450,Hippo,2
451,Elephant,3
452,Twister,1
453,Clue,4
454,Lego,2
455,Uno,4
456,Bird,3
457,Bird,5
458,Hippo,1
459,Uno,2
460,Elephant,2
461,Jenga,4
462,Clue,3
463,Bird,5
464,Lego,3
465,Elephant,5
466,Hippo,4
467,Jenga,5
468,Twister,5
469,Elephant,3
470,Lego,4
471,Hippo,1
472,Clue,1
473,Clue,2
474,Jenga,2
475,Lego,1
476,Twister,3
477,Jenga,3
478,Whale,2
479,Bird,2
480,Twister,4
481,Tux,5
482,Uno,4
483,Lego,1
484,Whale,5
485,Whale,3
486,Tux,5
487,Hippo,5
488,Twister,3
489,Elephant,3
490,Tux,1
491,Whale,4
492,Hippo,2
493,Hippo,1
494,Tux,4
495,Clue,4
496,Jenga,1
497,Hippo,3
498,Bird,2
499,Hippo,5
500,Twister,5
501,Jenga,5
502,Clue,3
503,Bird,5
504,Elephant,4
505,Whale,1
506,Lego,2
507,Twister,3
508,Elephant,2
509,Jenga,1
510,Twister,3
511,Bird,4
512,Tux,2
513,Jenga,4
514,Uno,2
515,Clue,5
516,Hippo,5
517,Whale,1
518,Uno,2
519,Bird,5
520,Hippo,1
521,Hippo,2
522,Elephant,2
523,Jenga,1
524,Tux,4
525,Clue,4
526,Hippo,3
